Total time to construct inverted index: 15.814880609512329 seconds.
Size of inverted index: 
unique terms indexed: 13352
average postings list length: 6.995206710605153 postings
total unique positional indicies: 93400

*********************
Token: bart
Found in 104 documents
docID: 7.22 @ position 65
docID: 7.22 @ position 119
docID: 7.22 @ position 132
docID: 7.22 @ position 167
docID: 7.22 @ position 181
docID: 7.22 @ position 200
docID: 7.22 @ position 224
docID: 7.22 @ position 256
docID: 7.22 @ position 269
docID: 7.22 @ position 281
docID: 7.22 @ position 709
docID: 7.24 @ position 110
docID: 7.25 @ position 15
docID: 7.25 @ position 27
docID: 7.25 @ position 104
docID: 7.25 @ position 115
docID: 7.25 @ position 135
docID: 7.25 @ position 150
docID: 7.25 @ position 157
docID: 7.25 @ position 187
docID: 7.25 @ position 698
docID: 7.25 @ position 710

*********************
Token: first
TOKEN NOT FOUND IN INDEX

*********************
Token: image
Found in 9 documents
docID: 3.7 @ position 1089
docID: 3.9 @ position 708
docID: 3.16 @ position 500
docID: 3.16 @ position 525
docID: 3.16 @ position 1100
docID: 3.18 @ position 672
docID: 5.13 @ position 1254
docID: 7.2 @ position 40
docID: 7.5 @ position 1525
docID: 7.21 @ position 1533
docID: 7.25 @ position 40

*********************
